,Casino,Free_internet,Gym,Helpful_votes,Hotel_stars,Member_years,Nr_hotel_reviews,Nr_reviews,Nr_rooms,Pool,Spa,Tennis_court,User_country_Australia,User_country_Belgium,User_country_Brazil,User_country_Canada,User_country_China,User_country_Costa Rica,User_country_Croatia,User_country_Czech Republic,User_country_Denmark,User_country_Egypt,User_country_Finland,User_country_France,User_country_Germany,User_country_Greece,User_country_Hawaii,User_country_Honduras,User_country_Hungary,User_country_India,User_country_India ,User_country_Iran,User_country_Ireland,User_country_Israel,User_country_Italy,User_country_Japan,User_country_Jordan,User_country_Kenya,User_country_Korea,User_country_Kuwait,User_country_Malaysia,User_country_Mexico,User_country_Netherlands,User_country_New Zeland,User_country_Norway,User_country_Phillippines,User_country_Puerto Rico,User_country_Saudi Arabia,User_country_Scotland,User_country_Singapore,User_country_South Africa,User_country_Spain,User_country_Swiss,User_country_Switzerland,User_country_Syria,User_country_Taiwan,User_country_Thailand,User_country_UK,User_country_USA,User_country_United Arab Emirates,Period_of_stay_Dec-Feb,Period_of_stay_Jun-Aug,Period_of_stay_Mar-May,Period_of_stay_Sep-Nov,Traveler_type_Business,Traveler_type_Couples,Traveler_type_Families,Traveler_type_Friends,Traveler_type_Solo,Hotel_name_Bellagio Las Vegas,Hotel_name_Caesars Palace,Hotel_name_Circus Circus Hotel & Casino Las Vegas,Hotel_name_Encore at wynn Las Vegas,Hotel_name_Excalibur Hotel & Casino,Hotel_name_Hilton Grand Vacations at the Flamingo,Hotel_name_Hilton Grand Vacations on the Boulevard,Hotel_name_Marriott's Grand Chateau,Hotel_name_Monte Carlo Resort&Casino,Hotel_name_Paris Las Vegas,Hotel_name_The Cosmopolitan Las Vegas,Hotel_name_The Cromwell,Hotel_name_The Palazzo Resort Hotel Casino,Hotel_name_The Venetian Las Vegas Hotel,Hotel_name_The Westin las Vegas Hotel Casino & Spa,Hotel_name_Treasure Island- TI Hotel & Casino,Hotel_name_Tropicana Las Vegas - A Double Tree by Hilton Hotel,Hotel_name_Trump International Hotel Las Vegas,Hotel_name_Tuscany Las Vegas Suites & Casino,Hotel_name_Wyndham Grand Desert,Hotel_name_Wynn Las Vegas,User_continent_Africa,User_continent_Asia,User_continent_Europe,User_continent_North America,User_continent_Oceania,User_continent_South America,month,weekday
0,1,1,1,13,3,9.0,4,11,3773.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
1,1,1,1,75,3,3.0,21,119,3773.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
2,1,1,1,25,3,2.0,9,36,3773.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6
3,1,1,1,14,3,6.0,7,14,3773.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5
4,1,1,1,2,3,7.0,5,5,3773.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2
5,1,1,1,27,3,2.0,8,31,3773.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2
6,1,1,1,46,3,4.0,12,45,3773.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5
7,1,1,1,4,3,10.0,1,2,3773.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2
8,1,1,1,8,3,3.0,3,24,3773.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6
9,1,1,1,11,3,5.0,7,12,3773.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2
